Company,Role,Location & Applicants,Job Type & Skills,Easy Apply
Marlabs LLC,Business Analyst ,"Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants","Hybrid Full-time 3 of 10 skills match: Data Analysis, Analytical Skills, Business Analysis 3 of 10 required skills are found on your profile",Easy Apply
GrowthSchool,Business Analyst,"Bengaluru East, Karnataka, India · 2 weeks ago · Over 100 people clicked apply",On-site Full-time,Apply
Innovatecloud Solutions,Data Analyst or Analytics Intern,India · 16 hours ago · Over 100 people clicked apply,Remote Full-time 1 of 9 skills match: Analytical Skills 1 of 9 required skills are found on your profile,Apply
InCred Financial Services,Product Analyst/ Business Analyst ,"Bengaluru, Karnataka, India · Reposted 4 days ago · Over 100 people clicked apply","Hybrid Full-time 2 of 4 skills match: Microsoft Excel, SQL 2 of 4 required skills are found on your profile",Apply
PhonePe,Business Analyst ,"Bengaluru, Karnataka, India · 1 week ago · Over 100 people clicked apply",On-site Full-time,Apply
Peroptyx,Data Analyst,India · 2 days ago · Over 100 people clicked apply,"Remote Contract 2 of 10 skills match: Data Analysis, Analytical Skills 2 of 10 required skills are found on your profile",Apply
The Cigna Group,Business analyst,"Bengaluru, Karnataka, India · 1 week ago · Over 100 people clicked apply",On-site Full-time,Apply
Standard Chartered India,"Business Analyst, LCS","Bengaluru East, Karnataka, India · 6 days ago · Over 100 people clicked apply",Hybrid Full-time,Apply
Tarento Group,Junior Business Analyst,"Bengaluru, Karnataka, India · 2 days ago · Over 100 people clicked apply",On-site Full-time,Apply
Rexera,Operations Analyst,"Bengaluru, Karnataka, India · 1 week ago · Over 100 applicants",On-site Full-time,Easy Apply
Groww,Business Analyst ,Greater Bengaluru Area · 3 weeks ago · Over 100 applicants,On-site Full-time  High skills match The majority of required skills are found on your profile,Easy Apply
HSBC,Business Analyst ,"Bengaluru, Karnataka, India · 1 week ago · Over 100 people clicked apply",Hybrid Full-time,Apply
Karbon Business,Product Analyst Intern,"Bengaluru, Karnataka, India · 1 month ago · Over 100 applicants",On-site Internship,Easy Apply
Razorpay,Junior Analyst - Risk Mangement ,"Bengaluru, Karnataka, India · 4 days ago · Over 100 applicants",On-site Contract,Easy Apply
SkillFied Mentor,Business Analyst Intern,India · 11 hours ago · 26 people clicked apply,Remote Internship,Apply
